cohort,tertile,n_cases,n_rows,n_pos,base_rate,aupr,lift,auroc,p_at_5pct,p_at_10pct,p_at_20pct
ALL,overall_all_cases,560,700211,278890,0.3983,0.6465,1.6231,0.7373,0.8371,0.7682,0.6903
ALL,overall_purity_pop,555,690719,275549,0.3989,0.6470,1.6217,0.7373,0.8377,0.7684,0.6908
ALL,low,187,156151,62124,0.3978,0.6070,1.5258,0.7039,0.7855,0.7157,0.6495
ALL,mid,183,221914,89645,0.4040,0.6543,1.6197,0.7393,0.8460,0.7790,0.6995
ALL,high,185,312654,123780,0.3959,0.6616,1.6711,0.7524,0.8549,0.7853,0.7043
3Q,overall_all_cases,217,32103,13455,0.4191,0.7515,1.7931,0.8088,0.9377,0.8795,0.8010
3Q,overall_purity_pop,215,31680,13273,0.4190,0.7510,1.7925,0.8088,0.9369,0.8778,0.7991
3Q,low,74,10205,4242,0.4157,0.7129,1.7150,0.7841,0.8826,0.8257,0.7634
3Q,mid,70,10508,4441,0.4226,0.7594,1.7968,0.8138,0.9373,0.8849,0.8064
3Q,high,71,10967,4590,0.4185,0.7768,1.8560,0.8266,0.9672,0.9170,0.8254
