cohort,tumor_code,tertile,n_cases,n_rows,n_pos,base_rate,aupr,lift,auroc,p_at_5pct,p_at_10pct,p_at_20pct
ALL,CCRCC,low,27,22959,9017,0.3927,0.6066,1.5446,0.7011,0.8153,0.7234,0.6431
ALL,CCRCC,mid,27,18129,7825,0.4316,0.6258,1.4499,0.6999,0.7762,0.7347,0.6663
ALL,CCRCC,high,27,38964,15436,0.3962,0.6045,1.5260,0.7065,0.7850,0.7159,0.6444
ALL,GBM,low,32,53237,19171,0.3601,0.5049,1.4020,0.6520,0.6379,0.5881,0.5409
ALL,GBM,mid,31,40515,14166,0.3496,0.5316,1.5203,0.6841,0.6984,0.6394,0.5631
ALL,GBM,high,31,50694,16736,0.3301,0.5516,1.6707,0.7241,0.7172,0.6578,0.5804
ALL,LSCC,low,35,21934,9403,0.4287,0.6711,1.5653,0.7443,0.8177,0.7721,0.7196
ALL,LSCC,mid,34,70869,29173,0.4116,0.7007,1.7022,0.7694,0.8964,0.8387,0.7496
ALL,LSCC,high,35,80322,33992,0.4232,0.7440,1.7581,0.7986,0.9313,0.8805,0.7982
ALL,LUAD,low,32,34389,15067,0.4381,0.6974,1.5919,0.7502,0.8860,0.8232,0.7459
ALL,LUAD,mid,31,61989,25820,0.4165,0.6829,1.6395,0.7533,0.8803,0.8103,0.7307
ALL,LUAD,high,31,82937,33961,0.4095,0.6831,1.6681,0.7588,0.8753,0.8140,0.7291
ALL,PDA,low,39,8761,3247,0.3706,0.5393,1.4552,0.6662,0.7039,0.6522,0.5647
ALL,PDA,mid,38,13614,4986,0.3662,0.5492,1.4996,0.6817,0.7254,0.6542,0.5821
ALL,PDA,high,39,37471,14248,0.3802,0.5758,1.5143,0.6989,0.7380,0.6694,0.6133
ALL,UCEC,low,22,14871,6219,0.4182,0.6538,1.5633,0.7252,0.8401,0.7688,0.7049
ALL,UCEC,mid,22,16798,7675,0.4569,0.7094,1.5527,0.7604,0.8607,0.8131,0.7479
ALL,UCEC,high,22,22266,9407,0.4225,0.6969,1.6494,0.7695,0.8654,0.8154,0.7398
3Q,CCRCC,low,6,922,406,0.4403,0.7480,1.6986,0.7861,0.9787,0.9247,0.7730
3Q,CCRCC,mid,5,709,310,0.4372,0.7601,1.7385,0.7988,0.9722,0.9014,0.7958
3Q,CCRCC,high,5,804,323,0.4017,0.6700,1.6678,0.7609,0.8537,0.7778,0.6832
3Q,GBM,low,11,1724,664,0.3852,0.6232,1.6180,0.7279,0.7931,0.7688,0.6812
3Q,GBM,mid,10,724,226,0.3122,0.5864,1.8786,0.7512,0.8108,0.6986,0.6138
3Q,GBM,high,10,1387,431,0.3107,0.5589,1.7986,0.7341,0.7143,0.7050,0.5935
3Q,LSCC,low,30,3864,1613,0.4174,0.7162,1.7156,0.7929,0.8866,0.8346,0.7633
3Q,LSCC,mid,29,5210,2252,0.4322,0.7874,1.8216,0.8365,0.9425,0.9060,0.8340
3Q,LSCC,high,29,5181,2349,0.4534,0.8308,1.8325,0.8595,0.9692,0.9595,0.8852
3Q,LUAD,low,14,2489,1084,0.4355,0.7840,1.8001,0.8222,0.9360,0.9317,0.8514
3Q,LUAD,mid,13,1964,879,0.4476,0.7776,1.7375,0.8119,0.9192,0.9036,0.8422
3Q,LUAD,high,14,1950,852,0.4369,0.7969,1.8240,0.8294,0.9796,0.9385,0.8487
3Q,PDA,low,7,536,188,0.3507,0.5523,1.5746,0.7027,0.7037,0.6481,0.5556
3Q,PDA,mid,7,1241,458,0.3691,0.6384,1.7299,0.7480,0.7937,0.7680,0.6506
3Q,PDA,high,7,539,214,0.3970,0.6680,1.6826,0.7512,0.8889,0.8333,0.6759
3Q,UCEC,low,6,670,287,0.4284,0.7694,1.7961,0.8032,0.9706,0.9403,0.8358
3Q,UCEC,mid,6,660,316,0.4788,0.8136,1.6992,0.8251,1.0000,0.9545,0.8788
3Q,UCEC,high,6,1106,421,0.3807,0.7328,1.9252,0.8123,0.9286,0.8649,0.7568
