gene,observed_transmissibility,predicted_transmissibility_oof,predicted_percentile,predicted_rank,residual,agreement,surface,network_isolated,transfer_context_dependent
TFRC,0.6707,0.5075,0.7801,1524,0.1631,both_high,1,False,False
ATP13A3,0.6845,0.4857,0.7431,1780,0.1989,both_high,1,True,False
ITGB5,0.5902,0.4674,0.7089,2017,0.1228,both_high,1,False,True
ATP1B3,0.5,0.4487,0.6766,2241,0.0513,both_high,1,True,False
AP2M1,0.0402,0.448,0.6753,2250,-0.4078,intrinsic_only,1,False,False
CD47,0.1892,0.4338,0.6471,2445,-0.2446,intrinsic_only,1,False,False
PLSCR1,0.5065,0.4101,0.599,2778,0.0964,both_high,1,False,False
RNF13,0.0566,0.3901,0.5539,3091,-0.3335,intrinsic_only,1,True,False
ACPP,0.2891,0.3587,0.4733,3649,-0.0697,both_low,1,True,False
PLXND1,0.063,0.3505,0.4502,3809,-0.2875,both_low,1,False,False
SLC9A9,0.1812,0.3468,0.4427,3861,-0.1656,both_low,1,True,False
PLD1,0.5054,0.339,0.4206,4014,0.1664,context_boosted,1,True,True
ARL6,0.0354,0.3227,0.3731,4343,-0.2873,both_low,1,True,False
HEG1,0.0331,0.2877,0.2862,4945,-0.2547,both_low,1,False,False
ALCAM,0.2963,0.2646,0.2268,5356,0.0317,both_low,1,True,True
DLG1,0.3018,0.2454,0.1868,5633,0.0563,both_low,1,True,False
SLCO2A1,0.0469,0.2314,0.1551,5853,-0.1845,both_low,1,True,False
PLSCR4,0.0325,0.2298,0.1523,5872,-0.1974,both_low,1,True,False
IL1RAP,0.5783,0.2184,0.1297,6029,0.3599,context_boosted,1,True,True
CD200,0.045,0.2118,0.1185,6106,-0.1667,both_low,1,False,False
MME,0.0559,0.201,0.1003,6232,-0.1451,both_low,1,False,True
MYLK,0.0,0.1679,0.0552,6545,-0.1679,both_low,1,False,False
PLXNA1,0.3802,0.1523,0.0394,6654,0.2279,context_boosted,1,False,False
LPP,0.0296,0.0439,0.0026,6909,-0.0143,both_low,1,False,False
