gene,rank,mean_transmission_prob,n_string_nbrs_3q,nbr_mean_transmission,module_id,network_corroborated
TFRC,1,0.743625632962963,2,0.06983688473701477,1.0,low-transmission neighbourhood
ATP13A3,2,0.6928462475229358,0,,,isolated
LPP,3,0.6845437985321101,1,0.5406656265258789,7.0,high-transmission neighbourhood
ITGB5,4,0.6534091481578947,1,0.16566531360149384,3.0,low-transmission neighbourhood
ATP1B3,5,0.5685874217708333,0,,,isolated
IL1RAP,6,0.557486290093458,0,,,isolated
PLD1,7,0.5520588413008131,0,,,isolated
RNF13,8,0.5448613408571429,0,,,isolated
ALCAM,9,0.54417655,0,,,isolated
PLXND1,10,0.511952332278481,1,0.4729067087173462,4.0,low-transmission neighbourhood
PLSCR1,11,0.493238717920792,1,0.5831708312034607,5.0,high-transmission neighbourhood
PLXNA1,12,0.4729067303947368,1,0.5119523406028748,4.0,high-transmission neighbourhood
DLG1,13,0.3957094684954129,0,,,isolated
CD47,14,0.2579782405797101,1,0.14432698488235474,2.0,low-transmission neighbourhood
PLSCR4,15,0.2303841206435643,0,,,isolated
SLC9A9,16,0.2280299872604166,0,,,isolated
SLCO2A1,17,0.2052796921686747,0,,,isolated
ACPP,18,0.1659856664074074,0,,,isolated
MYLK,19,0.1656653062368421,4,0.5034887790679932,3.0,high-transmission neighbourhood
CD200,20,0.1443269791029411,1,0.25797826051712036,2.0,low-transmission neighbourhood
HEG1,21,0.1114332042631578,1,0.29361438751220703,6.0,low-transmission neighbourhood
MME,22,0.1052491501121495,1,0.017484348267316818,1.0,low-transmission neighbourhood
AP2M1,23,0.1031599546725663,1,0.7436256408691406,1.0,high-transmission neighbourhood
ARL6,24,0.1016389191549295,0,,,isolated
