gene,surface,predicted_transmissibility_oof,predicted_percentile,agreement,mean_transmission_prob,observed_transmit_rate,network_isolated,network_corroborated,n_string_nbrs_3q,transfer_context_dependent,transfer_stability_ratio,transfer_across_sd,buffering_flag,essentiality_toxicity_flag,dep_mean_effect,gnomad_LOEUF,thesis_lens_flags,confidence_flag,consolidated_verdict
ATP13A3,1,0.4857,0.7431,both_high,0.6928,0.7064,True,isolated,0,False,2.8615,0.0189,False,False,-0.019,0.22,none,supported,CLEAN LEAD
ATP1B3,1,0.4487,0.6766,both_high,0.5686,0.5312,True,isolated,0,False,4.8549,0.0306,False,False,-0.3999,0.683,none,supported,CLEAN LEAD
PLSCR1,1,0.4101,0.599,both_high,0.4932,0.505,False,high-transmission neighbourhood,1,False,3.8296,0.086,False,False,0.0748,0.73,none,supported,CLEAN LEAD
TFRC,1,0.5075,0.7801,both_high,0.7436,0.6389,False,low-transmission neighbourhood,2,False,5.2825,0.0913,False,True,-0.9401,0.581,essentiality toxicity,speculative,CAVEATED (prior-high): essentiality-toxicity
ITGB5,1,0.4674,0.7089,both_high,0.6534,0.5526,False,low-transmission neighbourhood,1,True,6.5003,0.2476,False,False,-0.4774,0.706,context-dependent (lineage risk),supported,CAVEATED (prior-high): lineage-risk
AP2M1,1,0.448,0.6753,intrinsic_only,0.1032,0.0088,False,high-transmission neighbourhood,1,False,8.3116,0.023,False,True,-0.8075,0.19,essentiality toxicity,speculative,CAVEATED: essentiality-toxicity
CD47,1,0.4338,0.6471,intrinsic_only,0.258,0.1159,False,low-transmission neighbourhood,1,False,3.0375,0.0581,False,False,0.0357,0.373,none,speculative,candidate
RNF13,1,0.3901,0.5539,intrinsic_only,0.5449,0.0381,True,isolated,0,False,4.7176,0.0736,False,False,0.0156,0.901,none,speculative,candidate
ACPP,1,0.3587,0.4733,both_low,0.166,0.2963,True,isolated,0,False,4.6648,0.0878,False,False,,1.403,none,speculative,candidate
PLXND1,1,0.3505,0.4502,both_low,0.512,0.0253,False,low-transmission neighbourhood,1,False,2.4169,0.0697,True,False,-0.016,0.157,buffered/over-predicted,speculative,CAVEATED: buffering
SLC9A9,1,0.3468,0.4427,both_low,0.228,0.1458,True,isolated,0,False,5.7833,0.1575,False,False,0.0422,0.955,none,supported,candidate
PLD1,1,0.339,0.4206,context_boosted,0.5521,0.5041,True,isolated,0,True,13.4023,0.3099,False,False,-0.0227,0.876,context-dependent (lineage risk),supported,CAVEATED: lineage-risk
ARL6,1,0.3227,0.3731,both_low,0.1016,0.0282,True,isolated,0,False,4.5605,0.0445,False,False,0.109,0.917,none,speculative,candidate
HEG1,1,0.2877,0.2862,both_low,0.1114,0.0,False,low-transmission neighbourhood,1,False,4.5256,0.0325,False,False,0.1218,0.573,none,speculative,candidate
ALCAM,1,0.2646,0.2268,both_low,0.5442,0.3382,True,isolated,0,True,5.2991,0.2048,False,False,-0.041,0.386,context-dependent (lineage risk),speculative,CAVEATED: lineage-risk
DLG1,1,0.2454,0.1868,both_low,0.3957,0.3945,True,isolated,0,False,3.3556,0.0992,False,False,0.0223,0.286,none,supported,candidate
SLCO2A1,1,0.2314,0.1551,both_low,0.2053,0.0,True,isolated,0,False,2.9653,0.1407,False,False,-0.1066,1.053,none,speculative,candidate
PLSCR4,1,0.2298,0.1523,both_low,0.2304,0.0099,True,isolated,0,False,4.6495,0.1294,False,False,0.1222,1.153,none,speculative,candidate
IL1RAP,1,0.2184,0.1297,context_boosted,0.5575,0.5421,True,isolated,0,True,6.6256,0.2582,False,False,0.05,0.444,context-dependent (lineage risk),supported,CAVEATED: lineage-risk
CD200,1,0.2118,0.1185,both_low,0.1443,0.0147,False,low-transmission neighbourhood,1,False,5.0433,0.1372,False,False,0.0738,0.56,none,speculative,candidate
MME,1,0.201,0.1003,both_low,0.1052,0.0654,False,low-transmission neighbourhood,1,True,9.8416,0.3122,False,False,-0.0069,0.923,context-dependent (lineage risk),supported,CAVEATED: lineage-risk
MYLK,1,0.1679,0.0552,both_low,0.1657,0.0,False,high-transmission neighbourhood,4,False,3.8077,0.1579,False,False,0.0953,0.528,none,speculative,candidate
PLXNA1,1,0.1523,0.0394,context_boosted,0.4729,0.3947,False,high-transmission neighbourhood,1,False,1.9446,0.0653,False,False,0.002,0.262,none,supported,candidate
LPP,1,0.0439,0.0026,both_low,0.6845,0.0092,False,high-transmission neighbourhood,1,False,4.3831,0.0197,True,False,0.0601,0.56,buffered/over-predicted,speculative,CAVEATED: buffering
